#spaceCode,spaceNo,spaceContent,spaceUsed,spaceType,isBook,devCode,lastSpaceCode,issave,parkCode
303106,undefined,泊位106,2002,5803,102,303106,303136,1,0001_000031
303104,undefined,泊位104,2002,5803,102,303104,303136,1,0001_000031
303102,undefined,泊位102,2002,5803,102,303102,303136,1,0001_000031
303100,undefined,泊位100,2002,5803,102,303100,303136,1,0001_000032
303098,undefined,泊位098,2002,5803,102,303098,303136,1,0001_000032
303096,undefined,泊位096,2002,5803,102,303096,303136,1,0001_000032
303094,undefined,泊位094,2002,5803,102,303094,303136,1,0001_000032
303092,undefined,泊位092,2002,5803,102,303092,303136,1,0001_000032
303090,undefined,泊位090,2002,5803,102,303090,303136,1,0001_000032
303088,undefined,泊位088,2002,5803,102,303088,303136,1,0001_000032
303086,undefined,泊位086,2002,5803,102,303086,303136,1,0001_000032
303084,undefined,泊位084,2002,5803,102,303084,303136,1,0001_000032
303082,undefined,泊位082,2002,5803,102,303082,303136,1,0001_000032
303080,undefined,泊位080,2002,5803,102,303080,303136,1,0001_000032
303078,undefined,泊位078,2002,5803,102,303078,303136,1,0001_000032
303076,undefined,泊位076,2002,5803,102,303076,303136,1,0001_000032
303074,undefined,泊位074,2002,5803,102,303074,303136,1,0001_000032
303072,undefined,泊位072,2002,5803,102,303072,303136,1,0001_000032
303070,undefined,泊位070,2002,5803,102,303070,303136,1,0001_000032
303068,undefined,泊位068,2002,5803,102,303068,303136,1,0001_000032
303066,undefined,泊位066,2002,5803,102,303066,303136,1,0001_000032
303013,undefined,泊位013,2002,5803,102,303013,303136,1,0001_000033
303015,undefined,泊位015,2002,5803,102,303015,303136,1,0001_000033
303017,undefined,泊位017,2002,5803,102,303017,303136,1,0001_000033
303019,undefined,泊位019,2002,5803,102,303019,303136,1,0001_000033
303021,undefined,泊位021,2002,5803,102,303021,303136,1,0001_000033
303023,undefined,泊位023,2002,5803,102,303023,303136,1,0001_000033
303025,undefined,泊位025,2002,5803,102,303025,303136,1,0001_000033
303027,undefined,泊位027,2002,5803,102,303027,303136,1,0001_000033
303029,undefined,泊位029,2002,5803,102,303029,303136,1,0001_000033
303031,undefined,泊位031,2002,5803,102,303031,303136,1,0001_000033
303033,undefined,泊位033,2002,5803,102,303033,303136,1,0001_000033
303035,undefined,泊位035,2002,5803,102,303035,303136,1,0001_000033
303037,undefined,泊位037,2002,5803,102,303037,303136,1,0001_000033
303039,undefined,泊位039,2002,5803,102,303039,303136,1,0001_000034
303041,undefined,泊位041,2002,5803,102,303041,303136,1,0001_000034
303043,undefined,泊位043,2002,5803,102,303043,303136,1,0001_000034
303045,undefined,泊位045,2002,5803,102,303045,303136,1,0001_000034
303047,undefined,泊位047,2002,5803,102,303047,303136,1,0001_000034
303049,undefined,泊位049,2002,5803,102,303049,303136,1,0001_000034
303051,undefined,泊位051,2002,5803,102,303051,303136,1,0001_000034
303053,undefined,泊位053,2002,5803,102,303053,303136,1,0001_000034
303055,undefined,泊位055,2002,5803,102,303055,303136,1,0001_000034
303057,undefined,泊位057,2002,5803,102,303057,303136,1,0001_000034
303059,undefined,泊位059,2002,5803,102,303059,303136,1,0001_000034
303061,undefined,泊位061,2002,5803,102,303061,303136,1,0001_000034
303063,undefined,泊位063,2002,5803,102,303063,303136,1,0001_000034
303024,undefined,泊位024,2002,5803,102,303024,303136,1,0001_000035
303026,undefined,泊位026,2002,5803,102,303026,303136,1,0001_000035
303028,undefined,泊位028,2002,5803,102,303028,303136,1,0001_000035
303030,undefined,泊位030,2002,5803,102,303030,303136,1,0001_000035
303032,undefined,泊位032,2002,5803,102,303032,303136,1,0001_000035
303034,undefined,泊位034,2002,5803,102,303034,303136,1,0001_000035
303036,undefined,泊位036,2002,5803,102,303036,303136,1,0001_000035
303038,undefined,泊位038,2002,5803,102,303038,303136,1,0001_000035
